,EPIC,L_bol,L_bol_err,Teff,Tmax,Tmin,clustered,clusterederr,clusterenergy,clusterenergy_err,count_true,energ_true,stars_in_bin,rel_energ_err
2,211738707.0,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,7000.0,3000.0,349.83028610583494,77.64384861793786,6.983412970595772e+31,4.057458971111469e+31,3.166666666666667,1.7384298265283365e+32,740,0.5810137518997845
381,211988628.0,4.724232079919543e+29,1.3597432953833746e+29,3550.0,7000.0,3000.0,88.92745603053663,17.685197767201334,1.033359408745124e+32,5.485124998633223e+31,1.0526315789473684,1.7809417363244477e+32,740,0.530805153774539
209,211939462.0,2.4228762028039462e+29,8.089374008782233e+28,3500.0,7000.0,3000.0,93.31923586113447,20.527415978888406,8.3167554597877e+31,4.535462504216567e+31,3.75,1.7928118429061917e+32,740,0.5453403705502654
214,211940224.0,2.4228762028039462e+29,8.089374008782233e+28,3500.0,7000.0,3000.0,123.80012674982274,24.448386250019134,1.1033259869392168e+32,5.768775995742397e+31,4.4,1.8230454422420676e+32,740,0.5228532694807454
4,211748286.0,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,7000.0,3000.0,487.86937102264136,985.984164124793,9.738988957992016e+31,2.3179445275181634e+32,2.0,1.8544997516919975e+32,740,2.380066901724958
208,211939462.0,2.4228762028039462e+29,8.089374008782233e+28,3500.0,7000.0,3000.0,66.75788523444741,15.731392467217546,5.9495665752520825e+31,3.3378198897025028e+31,4.6000000000000005,1.8549899651245374e+32,740,0.5610189998690921
331,211978983.0,2.53706284034917e+28,2.190676153566424e+28,3250.0,7000.0,3000.0,402.8377228484825,492.1196918596421,1.191240791271465e+32,1.9575807665149542e+32,2.5,1.8986108414843595e+32,740,1.6433124023779777
203,211939462.0,2.4228762028039462e+29,8.089374008782233e+28,3500.0,7000.0,3000.0,84.01868915654235,17.943921004158494,7.4878762702974445e+31,4.035524539290178e+31,2.571428571428571,1.970340113819352e+32,740,0.5389411354589427
403,211992451.0,1.4266952797331432e+29,4.76337656086982e+28,3410.0,7000.0,3000.0,152.4036563577131,30.079062846140946,9.882598041524737e+31,6.243048905948087e+31,1.3333333333333333,1.977896932840681e+32,740,0.6317214238316707
17,211827123.0,2.0152606473591297e+27,1.1600772812766656e+27,3030.0,7000.0,3000.0,1053.6539670274815,232.34062099599336,8.451585881679782e+31,4.551653760706623e+31,4.25,1.9840290196793257e+32,740,0.5385561744776314
447,212013619.0,2.4228762028039462e+29,8.089374008782233e+28,3500.0,7000.0,3000.0,106.96771204444418,133.48800124812652,9.533128887708131e+31,1.4998457661615888e+32,3.5999999999999996,2.0070916794460734e+32,740,1.573298529610217
154,211923569.0,4.724232079919543e+29,1.3597432953833746e+29,3550.0,7000.0,3000.0,103.30620527793022,20.21599878986126,1.2004440919691537e+32,6.333819587821105e+31,1.0,2.034786360479548e+32,740,0.5276230380234865
445,212013619.0,2.4228762028039462e+29,8.089374008782233e+28,3500.0,7000.0,3000.0,118.77759890595362,81.33252765909891,1.058564437530912e+32,1.069273826496259e+32,3.3333333333333335,2.0795073307927853e+32,740,1.0101168984954063
225,211945445.0,2.53706284034917e+28,2.190676153566424e+28,3250.0,7000.0,3000.0,537.3075141877296,137.30104125105413,1.5888845360141177e+32,1.076016628163146e+32,1.4615384615384615,2.096944376837889e+32,740,0.6772151177595609
519,212086091.0,6.372813724560243e+27,2.274461611803033e+27,3100.0,7000.0,3000.0,430.99185745534703,82.4133343035696,6.445935090758731e+31,3.7330777946297815e+31,4.571428571428571,2.1280771157021455e+32,740,0.5791367337815331
395,211991662.0,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,7000.0,3000.0,406.8549496708,78.42839824827904,8.121755735644309e+31,4.481861200972183e+31,1.222222222222222,2.129562532098905e+32,740,0.5518340303319442
446,212013619.0,2.4228762028039462e+29,8.089374008782233e+28,3500.0,7000.0,3000.0,130.6223856319611,35.93826233445943,1.1641270193121576e+32,6.990600275857239e+31,3.8000000000000003,2.1967736204200454e+32,740,0.6005015054102725
19,211827220.0,1.4266952797331432e+29,4.76337656086982e+28,3410.0,7000.0,3000.0,163.65981590231354,34.46259271937012,1.0612502447554616e+32,6.844337483661066e+31,1.5454545454545454,2.2133821707313662e+32,740,0.6449315340547386
119,211912940.0,4.724232079919543e+29,1.3597432953833746e+29,3550.0,7000.0,3000.0,92.55565084200072,18.600441040023732,1.0755199451254654e+32,5.731423287957868e+31,1.6,2.2259088507000933e+32,740,0.5328979080243152
