,Unnamed: 0,EPIC,L_bol,L_bol_err,Teff,Tmax,Tmin,clustered,clusterederr,clusterenergy,clusterenergy_err,count_true,energ_true,istart,istop,stars_in_bin,age,saturated
409,487,211014750,1.3011615595745358e+28,1.1235132039949538e+28,3200,7000.0,3000.0,1773.0805963311468,370.768793640194,3.5394745755616525e+32,2.011046319539837e+32,2.25,8.633194313994461e+32,455.0,458.0,712,0.125,False
410,1218,211089274,2.656630928328716e+30,4.893695018525311e+29,3800,7000.0,3000.0,195.71876489402146,40.294281427364176,5.305473599962387e+32,2.843924076585365e+32,1.2142857142857144,8.690977396730702e+32,2484.0,2487.0,712,0.125,False
411,881,211059880,1.3011615595745358e+28,1.1235132039949538e+28,3200,7000.0,3000.0,2860.692457529262,512.9768105745077,5.710596711101089e+32,3.0745034234033468e+32,1.375,8.736073766078871e+32,1243.0,1245.0,712,0.125,False
412,21,210784223,3.752590928470313e+30,6.912527945600352e+29,3870,7000.0,3000.0,1592.2632638348316,291.47312954864606,5.298792910728894e+33,2.5761934199843122e+33,1.7272727272727273,9.001379570828213e+32,540.0,551.0,712,0.125,True
413,422,211006594,4.724232079919543e+29,1.3597432953833746e+29,3550,7000.0,3000.0,680.404264760018,150.60677351682,7.906468711964909e+32,4.374506200544671e+32,1.5,9.042529740955709e+32,1318.0,1320.0,712,0.125,False
414,946,211065426,1.3011615595745358e+28,1.1235132039949538e+28,3200,7000.0,3000.0,3086.25121316942,584.9226951437507,6.16086359831176e+32,3.3797996548054144e+32,2.333333333333333,9.149859050194355e+32,1292.0,1299.0,712,0.125,False
415,340,210997527,8.401004635966278e+29,3.385204907166215e+29,3650,7000.0,3000.0,526.5424129294544,96.07637593661845,8.250035876938622e+32,4.187590917161895e+32,1.8571428571428568,9.424728405007071e+32,2100.0,2110.0,712,0.125,False
416,1366,211112686,4.724232079919543e+29,1.3597432953833746e+29,3550,7000.0,3000.0,884.0701518190433,158.46330332939345,1.0273117551673043e+33,5.25136982123572e+32,2.75,9.453164286991295e+32,222.0,239.0,712,0.125,False
417,146,210892321,1.4266952797331432e+29,4.76337656086982e+28,3410,7000.0,3000.0,500.001798241723,271.7374031698347,3.1873570305071523e+32,3.117086590313067e+32,1.875,9.527699025977673e+32,2023.0,2035.0,712,0.125,False
418,473,211013066,3.752590928470313e+30,6.912527945600352e+29,3870,7000.0,3000.0,210.2533762423463,42.70728535297162,6.996890054516299e+32,3.542189874943696e+32,1.1428571428571428,9.651946212234003e+32,2510.0,2514.0,712,0.125,True
419,216,210949534,5.424144171351381e+30,1.6236419564565546e+30,3940,7000.0,3000.0,136.80761578371605,28.018654082195066,4.8948996641522475e+32,2.435837006185368e+32,2.1666666666666665,9.873312726112122e+32,951.0,954.0,712,0.125,True
420,1369,211112686,4.724232079919543e+29,1.3597432953833746e+29,3550,7000.0,3000.0,585.0608446248114,107.26235505397206,6.798554186390005e+32,3.50307980059803e+32,1.6666666666666667,9.982088532680511e+32,1829.0,1838.0,712,0.125,False
421,1056,211076650,2.4228762028039462e+29,8.089374008782233e+28,3500,7000.0,3000.0,706.5698971579645,179.2795919312796,6.297060831760968e+32,3.646645728942524e+32,4.3,1.017054601669824e+33,2136.0,2137.0,712,0.125,False
422,1405,211117077,1.1866734460852196e+30,4.7817290276134684e+29,3700,7000.0,3000.0,389.9865221396196,78.34846469915999,7.68606530877979e+32,4.0200428673329685e+32,1.2,1.036590043902059e+33,956.0,960.0,712,0.125,False
423,1317,211103033,1.3011615595745358e+28,1.1235132039949538e+28,3200,7000.0,3000.0,2740.848785155757,529.3830767920247,5.471361319159131e+32,3.0213526548377653e+32,3.25,1.0621052531473149e+33,867.0,872.0,712,0.125,False
424,1019,211071351,2.0152606473591297e+27,1.1600772812766656e+27,3030,7000.0,3000.0,5043.371344681146,842.4601803803394,4.2822309293161214e+32,2.0752052111615342e+32,3.75,1.0856564187279939e+33,1876.0,1892.0,712,0.125,False
425,737,211045994,1.3011615595745358e+28,1.1235132039949538e+28,3200,7000.0,3000.0,4659.8578221944435,786.7573883661219,9.302142452812084e+32,4.9106360865254855e+32,1.7,1.0957461776966195e+33,1244.0,1259.0,712,0.125,False
426,1190,211086025,1.3942197303171907e+31,4.975979829449148e+30,4070,7000.0,3000.0,151.70736558863942,30.91568877635756,9.134071732255427e+32,5.131711954039104e+32,1.1538461538461535,1.1296535800723112e+33,2461.0,2465.0,712,0.125,True
427,831,211055424,2.0152606473591297e+27,1.1600772812766656e+27,3030,7000.0,3000.0,7647.625745963076,1446.9569020382214,6.493453935279838e+32,3.290679764088078e+32,2.75,1.1443069557784824e+33,1730.0,1738.0,712,0.125,False
428,1316,211103033,1.3011615595745358e+28,1.1235132039949538e+28,3200,7000.0,3000.0,2910.545078794826,584.6905337590591,5.810113950114185e+32,3.2533937369328875e+32,3.6,1.1478526068839016e+33,578.0,583.0,712,0.125,False
429,1188,211086025,1.3942197303171907e+31,4.975979829449148e+30,4070,7000.0,3000.0,133.22224468549308,27.238992393760142,8.021110475208877e+32,4.511863601923563e+32,1.5,1.1558361002574208e+33,1744.0,1748.0,712,0.125,True
430,162,210920246,4.724232079919543e+29,1.3597432953833746e+29,3550,7000.0,3000.0,713.006350128951,131.05439292660438,8.285313144995017e+32,4.273053575858807e+32,1.375,1.1859304170628682e+33,2444.0,2452.0,712,0.125,False
431,387,211004687,1.3011615595745358e+28,1.1235132039949538e+28,3200,7000.0,3000.0,7017.073714570951,1360.079468146904,1.4007684737489085e+33,7.744721036641133e+32,1.4285714285714286,1.1867146704404399e+33,2447.0,2454.0,712,0.125,False
432,461,211011030,1.3011615595745358e+28,1.1235132039949538e+28,3200,7000.0,3000.0,1395.5638016334171,365.40089834578436,2.7858646722977924e+32,1.7297346545293277e+32,3.5882352941176467,1.1872724240571261e+33,814.0,815.0,712,0.125,False
433,551,211023807,1.3011615595745358e+28,1.1235132039949538e+28,3200,7000.0,3000.0,3759.8867171330357,453.0481789788672,7.505594201313392e+32,3.5993957415185566e+32,1.4285714285714286,1.1948116575261783e+33,663.0,689.0,712,0.125,False
434,922,211063744,1.4266952797331432e+29,4.76337656086982e+28,3410,7000.0,3000.0,1169.8594510215773,210.9410804750104,7.457492671088784e+32,4.58481961198301e+32,1.4444444444444444,1.2467357785161456e+33,1359.0,1372.0,712,0.125,False
435,547,211023687,8.401004635966278e+29,3.385204907166215e+29,3650,7000.0,3000.0,736.7541755367247,139.55085501983672,1.1543701383608526e+33,5.9395930576577866e+32,1.4,1.2530107738689636e+33,2080.0,2088.0,712,0.125,True
436,667,211036665,3.752590928470313e+30,6.912527945600352e+29,3870,7000.0,3000.0,206.64111646627381,38.59438811588819,6.87667993017376e+32,3.36888016479068e+32,2.333333333333333,1.263941563779037e+33,3112.0,3116.0,712,0.125,False
437,1529,211143504,2.656630928328716e+30,4.893695018525311e+29,3800,7000.0,3000.0,234.24649346664162,51.76207614956368,6.3498693528133555e+32,3.499603876806898e+32,1.3571428571428572,1.264664094493012e+33,688.0,690.0,712,0.125,True
438,1073,211078145,1.3011615595745358e+28,1.1235132039949538e+28,3200,7000.0,3000.0,4861.867966271624,1084.7807867586366,9.705400923096076e+32,5.650355614476132e+32,1.7142857142857142,1.2923571479992563e+33,517.0,519.0,712,0.125,False
439,224,210951703,3.752590928470313e+30,6.912527945600352e+29,3870,7000.0,3000.0,198.19141799041446,44.60584676134798,6.595487721582277e+32,3.4836941817868286e+32,1.4166666666666663,1.2974192789778899e+33,724.0,726.0,712,0.125,True
